centrale;tranche;filiere;sector;sous_filiere;contrat_programme;combustible;fuel;point_gps_wsg84;region;code_insee_region;departement;code_insee_departement;epci;code_insee_epci;commune;code_insee_commune;tri;perimetre_juridique;perimetre_spatial;spatial_perimeter;sub_sector;date_de_mise_en_service_industrielle;puissance_installee;puissance_minimum_de_conception;reserve_secondaire_maximale;unite
BELLEVILLE;BELLEVILLE 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;47.508946,2.875676;CENTRE-VAL DE LOIRE;24.0;CHER;18.0;CC Pays Fort Sancerrois Val de Loire;200069227.0;Belleville-sur-Loire;18026.0;3;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1988-06-01;1310.0;260.0;70.0;MW
BELLEVILLE;BELLEVILLE 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 1300;P'4;Uranium Enrichi;Enriched Uranium;47.508946,2.875676;CENTRE-VAL DE LOIRE;24.0;CHER;18.0;CC Pays Fort Sancerrois Val de Loire;200069227.0;Belleville-sur-Loire;18026.0;4;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 1300;1989-01-01;1310.0;260.0;70.0;MW
BLAYAIS (LE);BLAYAIS 1;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;45.257605,-0.690606;NOUVELLE-AQUITAINE;75.0;GIRONDE;33.0;CC de l'Estuaire;243300811.0;Braud-et-Saint-Louis;33073.0;5;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1981-12-01;910.0;180.0;50.0;MW
BLAYAIS (LE);BLAYAIS 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;45.257605,-0.690606;NOUVELLE-AQUITAINE;75.0;GIRONDE;33.0;CC de l'Estuaire;243300811.0;Braud-et-Saint-Louis;33073.0;6;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1983-02-01;910.0;180.0;50.0;MW
BLAYAIS (LE);BLAYAIS 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Uranium Enrichi;Enriched Uranium;45.257605,-0.690606;NOUVELLE-AQUITAINE;75.0;GIRONDE;33.0;CC de l'Estuaire;243300811.0;Braud-et-Saint-Louis;33073.0;7;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1983-11-14;910.0;180.0;50.0;MW
BLAYAIS (LE);BLAYAIS 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP1;Uranium Enrichi;Enriched Uranium;45.257605,-0.690606;NOUVELLE-AQUITAINE;75.0;GIRONDE;33.0;CC de l'Estuaire;243300811.0;Braud-et-Saint-Louis;33073.0;8;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1983-10-01;910.0;180.0;50.0;MW
BUGEY (LE);BUGEY 2;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP0;Uranium Enrichi;Enriched Uranium;45.801148,5.266072;AUVERGNE-RHONE-ALPES;84.0;AIN;1.0;CC de la Plaine de l'Ain;240100883.0;Saint-Vulbas;1390.0;14;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1979-03-01;910.0;180.0;35.0;MW
BUGEY (LE);BUGEY 3;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP0;Uranium Enrichi;Enriched Uranium;45.801148,5.266072;AUVERGNE-RHONE-ALPES;84.0;AIN;1.0;CC de la Plaine de l'Ain;240100883.0;Saint-Vulbas;1390.0;15;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1979-03-01;910.0;180.0;35.0;MW
BUGEY (LE);BUGEY 4;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP0;Uranium Enrichi;Enriched Uranium;45.801148,5.266072;AUVERGNE-RHONE-ALPES;84.0;AIN;1.0;CC de la Plaine de l'Ain;240100883.0;Saint-Vulbas;1390.0;16;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1979-07-01;880.0;180.0;35.0;MW
BUGEY (LE);BUGEY 5;Nucléaire;Nuclear;Réacteur à eau pressurisée (REP) 900;CP0;Uranium Enrichi;Enriched Uranium;45.801148,5.266072;AUVERGNE-RHONE-ALPES;84.0;AIN;1.0;CC de la Plaine de l'Ain;240100883.0;Saint-Vulbas;1390.0;17;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Pressurised water reactor 900;1980-01-03;880.0;180.0;35.0;MW
