tri;perimetre_juridique;perimetre_spatial;spatial_perimeter;filiere;sector;centrale;tranche;combustible;fuel;sous_filiere;sub_sector;date_de_mise_en_service_industrielle;puissance_installee;unite;point_gps_wsg84;region;code_insee_region;departement;code_insee_departement;epci;code_insee_epci;commune;code_insee_commune;reserve_secondaire_maximale
76.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;VAIRES SUR MARNE;VAIRES SUR MARNE 3;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;2009-10-26;182.0;MW;48.871786,2.652626;ILE-DE-FRANCE;11.0;SEINE-ET-MARNE;77.0;CA Paris - Vallée de la Marne;200057958.0;Vaires-sur-Marne;77479.0;21.0
75.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;VAIRES SUR MARNE;VAIRES SUR MARNE 2;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;2008-11-17;179.0;MW;48.871786,2.652626;ILE-DE-FRANCE;11.0;SEINE-ET-MARNE;77.0;CA Paris - Vallée de la Marne;200057958.0;Vaires-sur-Marne;77479.0;22.0
74.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;VAIRES SUR MARNE;VAIRES SUR MARNE 1;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;2008-11-03;181.0;MW;48.871786,2.652626;ILE-DE-FRANCE;11.0;SEINE-ET-MARNE;77.0;CA Paris - Vallée de la Marne;200057958.0;Vaires-sur-Marne;77479.0;22.0
57.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;MONTEREAU;MONTEREAU 6;Gaz naturel/Fioul Domestique;Natural gas/Domestic oil;Turbine à Combustion (TAC);Combustion Turbine;2010-11-30;185.0;MW;48.38207,2.847792;ILE-DE-FRANCE;11.0;SEINE-ET-MARNE;77.0;CC Moret Seine et Loing;247700032.0;Vernou-la-Celle-sur-Seine;77494.0;19.0
56.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;MONTEREAU;MONTEREAU 5;Gaz naturel/Fioul Domestique;Natural gas/Domestic oil;Turbine à Combustion (TAC);Combustion Turbine;2010-11-30;185.0;MW;48.38207,2.847792;ILE-DE-FRANCE;11.0;SEINE-ET-MARNE;77.0;CC Moret Seine et Loing;247700032.0;Vernou-la-Celle-sur-Seine;77494.0;19.0
55.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;MARTIGUES-PONTEAU;MARTIGUES-PONTEAU 6;Gaz naturel;Natural gas;Gaz;gas;2013-06-08;465.0;MW;43.358402,5.021321;PROVENCE-ALPES-COTE D'AZUR;93.0;BOUCHES-DU-RHONE;13.0;Métropole d'Aix-Marseille-Provence;200054807.0;Martigues;13056.0;75.0
54.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;MARTIGUES-PONTEAU;MARTIGUES-PONTEAU 5;Gaz naturel;Natural gas;Gaz;gas;2012-08-31;465.0;MW;43.358402,5.021321;PROVENCE-ALPES-COTE D'AZUR;93.0;BOUCHES-DU-RHONE;13.0;Métropole d'Aix-Marseille-Provence;200054807.0;Martigues;13056.0;26.0
44.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;GENNEVILLIERS;GENNEVILLIERS 1;Gaz naturel;Natural gas;Turbine à Combustion (TAC);Combustion Turbine;1994-09-01;203.0;MW;48.937185,2.261755;ILE-DE-FRANCE;11.0;HAUTS-DE-SEINE;92.0;Métropole du Grand Paris;200054781.0;Gennevilliers;92036.0;0.0
41.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;DIRINON;DIRINON 2;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;1981-12-18;85.0;MW;48.388804,-4.265463;BRETAGNE;53.0;FINISTERE;29.0;CC du Pays de Landerneau-Daoulas;242900801.0;Dirinon;29045.0;0.0
40.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;DIRINON;DIRINON 1;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;1981-09-28;85.0;MW;48.388804,-4.265463;BRETAGNE;53.0;FINISTERE;29.0;CC du Pays de Landerneau-Daoulas;242900801.0;Dirinon;29045.0;0.0
31.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;CORDEMAIS;CORDEMAIS 5;Charbon;Coal;Charbon;coal;1984-10-10;580.0;MW;47.275129,-1.874592;PAYS DE LA LOIRE;52.0;LOIRE-ATLANTIQUE;44.0;CC Estuaire et Sillon;200072734.0;Cordemais;44045.0;50.0
30.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;CORDEMAIS;CORDEMAIS 4;Charbon;Coal;Charbon;coal;1983-12-20;580.0;MW;47.275129,-1.874592;PAYS DE LA LOIRE;52.0;LOIRE-ATLANTIQUE;44.0;CC Estuaire et Sillon;200072734.0;Cordemais;44045.0;60.0
13.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;BRENNILIS;BRENNILIS 4;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;1996-12-12;134.0;MW;48.353318,-3.871479;BRETAGNE;53.0;FINISTERE;29.0;CC Monts d'Arrée Communauté;200067197.0;Loqueffret;29141.0;0.0
12.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;BRENNILIS;BRENNILIS 3;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;1981-01-16;85.0;MW;48.353318,-3.871479;BRETAGNE;53.0;FINISTERE;29.0;CC Monts d'Arrée Communauté;200067197.0;Loqueffret;29141.0;0.0
11.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;BRENNILIS;BRENNILIS 2;Fioul Domestique;Domestic Fuel Oil;Turbine à Combustion (TAC);Combustion Turbine;1980-10-30;85.0;MW;48.353318,-3.871479;BRETAGNE;53.0;FINISTERE;29.0;CC Monts d'Arrée Communauté;200067197.0;Loqueffret;29141.0;0.0
10.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;BOUCHAIN;BOUCHAIN 7;Gaz naturel;Natural gas;Gaz;gas;2016-07-26;585.0;MW;50.296302,3.315191;HAUTS-DE-FRANCE;32.0;NORD;59.0;CA de la Porte du Hainaut;200042190.0;Bouchain;59092.0;170.0
9.0;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Thermique à flamme;Fossil-fired;BLENOD;BLENOD 5;Gaz naturel;Natural gas;Gaz;gas;2011-10-14;427.0;MW;48.866546,6.07824;GRAND EST;44.0;MEURTHE-ET-MOSELLE;54.0;CC du Bassin de Pont-à-Mousson;200041515.0;Blénod-lès-Pont-à-Mousson;54079.0;80.0
